date,fund_code,action,delta
2025-08-25,000031,BUY,0.3485858578929195
2025-08-25,000006,BUY,0.005158926302065603
2025-08-25,000029,BUY,4.921323493040086e-05
2025-08-25,000017,SELL,-0.005208139536995893
2025-08-25,000039,SELL,-0.03668829656818466
2025-08-25,000057,SELL,-0.0381432439366866
2025-08-25,000001,SELL,-0.03897688734297838
2025-08-25,000021,SELL,-0.03941995528652953
2025-08-25,000066,SELL,-0.03949408855031411
2025-08-25,000061,SELL,-0.0401361293719493
2025-08-25,000059,SELL,-0.04065412366638422
2025-08-25,000073,SELL,-0.0416956084592774
2025-08-25,000117,SELL,-0.04173499373504517
2025-08-25,000008,SELL,-0.04323487642640125
2025-08-25,000011,SELL,-0.04361424373364394
2025-08-25,000020,SELL,-0.04451099443850917
2025-08-25,000030,SELL,-0.0482767442254738
2025-08-25,000082,SELL,-0.04895436182807508
2025-08-25,000051,SELL,-0.050768075571368754
2025-08-25,000065,SELL,-0.19955579729611528
