date,fund_code,action,delta
2025-08-25,000030,BUY,0.0876155875165338
2025-08-25,000020,BUY,0.07627705338888705
2025-08-25,000031,BUY,0.0722406776492226
2025-08-25,000008,BUY,0.07186557295153279
2025-08-25,000011,BUY,0.06435239247667658
2025-08-25,000021,BUY,0.05203042511075975
2025-08-25,000001,BUY,0.05044186381073319
2025-08-25,000039,SELL,-0.023376593136369323
2025-08-25,000057,SELL,-0.026286487873373194
2025-08-25,000066,SELL,-0.028988177100628218
2025-08-25,000061,SELL,-0.0302722587438986
2025-08-25,000059,SELL,-0.031308247332768435
2025-08-25,000073,SELL,-0.0333912169185548
2025-08-25,000117,SELL,-0.033469987470090334
2025-08-25,000082,SELL,-0.04790872365615016
2025-08-25,000051,SELL,-0.051536151142737505
2025-08-25,000017,SELL,-0.13105341369113377
2025-08-25,000029,SELL,-0.2325102446593103
2025-08-25,000065,SELL,-0.34911159459223057
2025-08-25,000006,SELL,-0.3635793915965745
