date,fund_code,action,delta
2025-08-25,000065,BUY,0.21960779678382453
2025-08-25,000030,BUY,0.0876155875165338
2025-08-25,000020,BUY,0.07627705338888705
2025-08-25,000219,BUY,0.07524851285678764
2025-08-25,000031,BUY,0.0722406776492226
2025-08-25,000008,BUY,0.07186557295153279
2025-08-25,000270,BUY,0.06211409209434461
2025-08-25,000459,BUY,0.05503918237636837
2025-08-25,000071,BUY,0.05183616358550032
2025-08-25,000076,BUY,0.0517245151614226
2025-08-25,000075,BUY,0.0517245151614226
2025-08-25,000001,BUY,0.05044186381073319
2025-08-25,000411,BUY,0.028770558841625223
2025-08-25,000390,BUY,0.026696654102329007
2025-08-25,000011,BUY,0.021064768947706848
2025-08-25,000354,BUY,0.020143269762514418
2025-08-25,000021,BUY,0.017568382178333328
2025-08-25,000039,BUY,0.0146268322579132
2025-08-25,000057,SELL,-0.026286487873373194
2025-08-25,000066,SELL,-0.028988177100628218
2025-08-25,000061,SELL,-0.0302722587438986
2025-08-25,000059,SELL,-0.031308247332768435
2025-08-25,000073,SELL,-0.0333912169185548
2025-08-25,000117,SELL,-0.033469987470090334
2025-08-25,000082,SELL,-0.04790872365615016
2025-08-25,000051,SELL,-0.051536151142737505
2025-08-25,000017,SELL,-0.1492347826453328
2025-08-25,000029,SELL,-0.2675669797613761
2025-08-25,000006,SELL,-0.4199298990033155
