date,fund_code,action,delta
2025-08-26,000006,BUY,0.5427514642579406
2025-08-26,000017,BUY,0.30153767173071616
2025-08-26,000270,SELL,-0.0006483652512429688
2025-08-26,000354,SELL,-0.0006525223016975792
2025-08-26,000411,SELL,-0.00102905590796383
2025-08-26,000029,SELL,-0.0010845556020529223
2025-08-26,000459,SELL,-0.001180041699606893
2025-08-26,000390,SELL,-0.0014595257950314328
2025-08-26,000219,SELL,-0.0021020622349364054
2025-08-26,000065,SELL,-0.020277304210435776
2025-08-26,000404,SELL,-0.06435685386180473
2025-08-26,000039,SELL,-0.06900171269714127
2025-08-26,000021,SELL,-0.0732041463756962
2025-08-26,000075,SELL,-0.0758622575807113
2025-08-26,000076,SELL,-0.0758622575807113
2025-08-26,000071,SELL,-0.07591808179275017
2025-08-26,000011,SELL,-0.07914662820749736
2025-08-26,000001,SELL,-0.08919781924834497
2025-08-26,000008,SELL,-0.10416766290216764
2025-08-26,000031,SELL,-0.10424637589241159
2025-08-26,000020,SELL,-0.1076495211329527
2025-08-26,000030,SELL,-0.1170845379837407
