date,fund_code,action,delta
2025-08-28,000029,BUY,0.2607518229874701
2025-08-28,000534,BUY,0.06757379721502808
2025-08-28,159729,BUY,0.06353033015087413
2025-08-28,159511,BUY,0.05408238493690814
2025-08-28,159695,BUY,0.049001985418624695
2025-08-28,159507,BUY,0.04875847670741435
2025-08-28,159739,BUY,0.04755328890614532
2025-08-28,159527,BUY,0.04746697503808286
2025-08-28,000940,BUY,0.046742870103261294
2025-08-28,159608,BUY,0.04576111629248626
2025-08-28,000714,BUY,0.04558102440220385
2025-08-28,159738,BUY,0.04426588124163013
2025-08-28,000698,BUY,0.041381485378712175
2025-08-28,159715,BUY,0.038407513173487604
2025-08-28,159713,BUY,0.03829082521123602
2025-08-28,159583,BUY,0.03819230543426601
2025-08-28,000404,BUY,0.033873405463583285
2025-08-28,000017,BUY,0.02588944789350725
2025-08-28,000219,BUY,0.014022986997346235
2025-08-28,000459,BUY,0.013208392081984453
2025-08-28,000411,BUY,0.007554769934374563
2025-08-28,000270,BUY,0.006260042173013389
2025-08-28,000390,BUY,0.006065743184909909
2025-08-28,000354,BUY,0.004766862574884057
2025-08-28,000065,SELL,-0.011685746981046297
2025-08-28,000006,SELL,-0.025889447893507334
