code,name,cat,fee,aum,launch_date,cover,sgrowth,repair,score
100089.OF,基金89,行业ETF,0.0050892650597844135,2463294140.595046,2017-10-25,1.0,0.1431611757989178,0.9694791983452976,0.5388784195622482
100127.OF,基金127,被动指数,0.007347883395916992,2333555258.3480153,2021-05-24,1.0,0.13941421870422538,0.9585737455501409,0.5362120634870984
100274.OF,基金274,被动指数,0.008448976468576244,590294579.8304358,2022-06-09,1.0,0.12859543809720647,0.9801994879865608,0.5349087849341028
100039.OF,基金39,主动权益,0.0026345975269572745,741464157.9588503,2022-03-26,1.0,0.13264087687619497,0.947462633780969,0.5340116069355639
100147.OF,基金147,行业ETF,0.008275929992932383,1692305677.248644,2017-05-19,1.0,0.11837217812604876,1.0,0.5338564674392282
100271.OF,基金271,行业ETF,0.0063876871056684015,1074307622.6582918,2023-03-15,1.0,0.14610595455247183,0.8942022927613708,0.531974478220745
100099.OF,基金99,债券,0.00037207030133505235,330829696.57611614,2018-07-14,1.0,0.11030528526147511,0.9728946216690442,0.5303066336850799
100011.OF,基金11,被动指数,0.0019529472586983687,1425603127.8545032,2022-03-23,1.0,0.14008678046233286,0.8779340911718476,0.529428853804145
100088.OF,基金88,被动指数,0.004573368052146073,868296850.2536182,2023-06-01,1.0,0.10904477115035179,0.9745073653742853,0.5292494942721049
100107.OF,基金107,债券,0.008388672642406994,962687967.7882963,2018-02-24,1.0,0.12463747967967946,0.9339211875524376,0.5291056281306662
100207.OF,基金207,主动权益,0.0036477567342838753,3429555858.495425,2022-09-07,1.0,0.11257610190620053,0.9555742173682861,0.528600700961832
100119.OF,基金119,被动指数,0.0005171750876756243,368661233.1093558,2022-07-10,1.0,0.12397777170479986,0.9020624801705042,0.5272961445109553
100116.OF,基金116,主动权益,0.005843371867071318,3255440566.496626,2020-05-28,1.0,0.13685120440691428,0.8728522524932595,0.527171912197986
100200.OF,基金200,主动权益,0.0004929375669717501,4202633370.3815536,2023-02-15,1.0,0.11118349664775136,0.9353365909220134,0.5267901205731325
100224.OF,基金224,被动指数,0.0061283840216203945,3421715160.5121346,2023-07-01,1.0,0.1108988269830135,0.9409158378404048,0.5261355550746205
100045.OF,基金45,被动指数,0.0008388860524789655,3112944721.71987,2021-11-07,1.0,0.1369898394533257,0.851679075555098,0.5260970821810118
100287.OF,基金287,被动指数,0.007727830046360736,1070155895.3516316,2020-10-30,1.0,0.10157955226235187,0.9685043612247762,0.525778735791911
100143.OF,基金143,行业ETF,0.002765276544314728,1606894652.0755792,2021-11-17,1.0,0.11852521152811334,0.8885414389548587,0.5238586520450569
100078.OF,基金78,主动权益,0.004439653217360115,573301515.4504476,2018-04-02,1.0,0.08904797996753093,0.9773128983330885,0.5235577531800961
100173.OF,基金173,行业ETF,0.001098395987891373,736572542.2314857,2022-10-13,1.0,0.09661557610620806,0.9469629138092173,0.5234612850152058
100267.OF,基金267,行业ETF,0.006432781606952967,2873314820.1832128,2019-02-10,1.0,0.11872537010430219,0.8900689561428271,0.5233379503241828
100175.OF,基金175,主动权益,0.004944187488800817,1056848351.5160536,2020-03-05,1.0,0.08363564721052398,0.9815284515181223,0.5222547018172092
100115.OF,基金115,被动指数,0.00963447104724597,709057503.7328614,2018-08-04,1.0,0.10203465969875451,0.9348004253105755,0.5221635462312347
