code,name,cat,fee,aum,launch_date,cover,sgrowth,repair,score
100082.OF,基金82,行业ETF,0.012005777687013068,1945744804.8823125,2020-05-29,1.0,0.14731052036846254,1.0,0.5417920005731361
100218.OF,基金218,行业ETF,0.0058580185017139555,2726673020.678746,2018-12-29,1.0,0.14932616890852324,0.9701601472361638,0.5406422616958306
100138.OF,基金138,被动指数,0.006907510473289713,239053063.819666,2021-06-27,1.0,0.1388369663755462,0.9838887799722664,0.5386584658152326
100215.OF,基金215,被动指数,0.00870818362606429,978576646.6522304,2021-01-25,1.0,0.13322148746923118,1.0,0.5382248095155565
100073.OF,基金73,主动权益,0.0063572425031786,2959199284.341804,2019-09-07,1.0,0.149705586017381,0.9457865834008746,0.538218885644666
100076.OF,基金76,被动指数,0.009537124032188033,712168708.642929,2021-05-22,1.0,0.1333303964233135,1.0,0.5380916941205565
100204.OF,基金204,行业ETF,0.009269248670493837,1574137811.956564,2021-09-04,1.0,0.1370204638456462,0.9724351355523261,0.5364958029748278
100046.OF,基金46,被动指数,0.012677490077250277,4255879898.196088,2022-10-18,1.0,0.12742325893122175,1.0,0.5356914796639165
100237.OF,基金237,被动指数,0.002966441467592372,4038935708.8202124,2019-02-08,1.0,0.14413524306232123,0.926639085447106,0.5353111931698885
100124.OF,基金124,主动权益,0.010717774367977216,506519114.88385355,2019-05-29,1.0,0.13340794868742062,0.9666255049850486,0.5345413802311356
100053.OF,基金53,被动指数,0.0012413030119235574,1830041129.5398088,2022-05-17,1.0,0.10687223598686864,1.0,0.5318134101936759
100171.OF,基金171,主动权益,0.009944160783795637,535643305.73963994,2021-10-20,1.0,0.11081860096771702,1.0,0.5312567481335561
100226.OF,基金226,主动权益,0.007340067495326703,4486662505.977411,2018-07-27,1.0,0.1477425884140437,0.8696473406817316,0.529819497093321
100188.OF,基金188,被动指数,0.004177895040639351,558428222.9185355,2017-05-10,1.0,0.09522933994112616,1.0,0.52773322297421
100152.OF,基金152,被动指数,0.003746964524686412,2695221078.8922715,2020-08-31,1.0,0.11256820733983534,0.9384483080548586,0.5268659001024992
100071.OF,基金71,被动指数,6.3220334017694e-05,836491462.8855522,2017-02-26,1.0,0.12483688032691552,0.8889060202571801,0.5263290220569892
100120.OF,基金120,行业ETF,0.0050838299705600765,417372150.3812922,2017-06-04,1.0,0.1359475440228971,0.8497744310912827,0.5247449403218855
100030.OF,基金30,行业ETF,0.009582150450625965,1782171536.8126533,2022-03-14,1.0,0.14304456415659667,0.8348744374988564,0.5244843829067394
100182.OF,基金182,债券,0.002678537864367969,455391715.9905112,2023-02-14,1.0,0.12880066765972303,0.8617032057540023,0.5242748133004436
100014.OF,基金14,主动权益,0.012273256913272914,1284378369.5908215,2021-08-11,1.0,0.10430021051440226,0.9503102324276417,0.5238664350144303
100058.OF,基金58,被动指数,0.0023997247060464355,428502542.99373835,2021-03-24,1.0,0.12512676433735131,0.8645114041059816,0.5235092247705944
100016.OF,基金16,主动权益,0.013459838464920458,2207588169.216994,2020-05-19,1.0,0.11957727738062339,0.9018185558589676,0.5233630711070998
100001.OF,基金1,主动权益,0.013812893857811587,586467234.5488281,2018-04-03,1.0,0.11397067343957977,0.915589641641434,0.5229875874244551
100144.OF,基金144,被动指数,0.006881806456762169,1509401557.6555943,2023-06-30,1.0,0.14338361579457087,0.8111820954580703,0.5227569329928259
100290.OF,基金290,债券,0.003361793855207432,1756522150.073699,2020-10-18,1.0,0.11090109809652392,0.8955901935378145,0.5221569900116971
100244.OF,基金244,主动权益,0.006349133870255635,1145097339.487201,2023-11-09,1.0,0.07702045855258068,1.0,0.5218363107917231
100090.OF,基金90,行业ETF,0.0044725676982689975,874166970.7889764,2019-07-03,1.0,0.07341765057268641,1.0,0.5211307816321521
