code,name,cat,fee,aum,launch_date,cover,sgrowth,repair,score
100268.OF,基金268,主动权益,0.010834003977834888,1214743417.809469,2023-06-18,1.0,0.13831586579283645,1.0,0.539327958942284
100278.OF,基金278,主动权益,0.0031182938271904098,546685770.7711767,2020-04-10,1.0,0.12885824876684676,1.0,0.538033815864616
100012.OF,基金12,主动权益,0.0016075801700966407,791051000.5566889,2017-11-03,1.0,0.1488722920232835,0.9219278639285006,0.5365329579658158
100070.OF,基金70,主动权益,0.0076141556802668256,2373943818.6671286,2021-07-05,1.0,0.14118673337951282,0.9055723155925648,0.531390420437057
100011.OF,基金11,主动权益,0.007981702278979734,1608786666.0296416,2023-05-25,1.0,0.14986206227037124,0.8749419267976088,0.5308564709050764
100280.OF,基金280,主动权益,0.0027215315263469596,5132352486.754123,2021-09-05,1.0,0.11841341439948753,0.9556613573084031,0.5305458537454172
100284.OF,基金284,主动权益,0.012261653426076612,3731831964.1000867,2020-05-28,1.0,0.1431706494731267,0.8971712646130486,0.5302159906180275
100052.OF,基金52,主动权益,0.0061559524048449225,737743748.2849085,2020-07-15,1.0,0.142734626712136,0.871849785421429,0.5287741760748148
100266.OF,基金266,主动权益,0.0014916208913901773,562049133.0817735,2019-11-29,1.0,0.1329825034611325,0.8791758773789339,0.5275140145979551
100085.OF,基金85,主动权益,0.012148116687819524,806202058.014461,2018-04-05,1.0,0.11427082886679803,0.9536994435986369,0.5272215696823392
100294.OF,基金294,主动权益,0.004416986393128765,3494988759.4956822,2019-12-09,1.0,0.09443805063504808,0.9840420808589309,0.5258522259977818
100247.OF,基金247,主动权益,0.014191731932004492,2148173428.8528724,2018-04-15,1.0,0.13475066002101016,0.875894077689876,0.5251762593888898
100047.OF,基金47,主动权益,0.004276427530407707,1128136309.1568491,2019-01-25,1.0,0.10232614663529309,0.9531929033814207,0.5251618488226485
100299.OF,基金299,主动权益,0.007311467973742705,1427241462.0930667,2017-05-26,1.0,0.13743710345001703,0.8472673330895805,0.5244955707492146
100078.OF,基金78,主动权益,0.007988841488273788,513025193.2743319,2017-01-28,1.0,0.0948658654606367,0.948098556115482,0.5216718469520845
100250.OF,基金250,主动权益,0.009659993148585237,709142394.12342,2020-09-19,1.0,0.11135432243935488,0.8922906646184581,0.5207033645639352
100288.OF,基金288,主动权益,0.008854424137722116,2129726479.0772033,2019-09-11,1.0,0.12897164662283483,0.8304012528640782,0.5199607344457139
100050.OF,基金50,主动权益,0.0012035061849246331,1184622448.083767,2020-06-23,1.0,0.14915739767099007,0.7282207568801896,0.5173285937523311
100261.OF,基金261,主动权益,0.0015616287297686078,175224274.9727612,2021-08-09,1.0,0.08663801027494854,0.9034675648614697,0.5160258338226777
100264.OF,基金264,主动权益,0.009791191617778121,2284289497.376814,2017-12-16,1.0,0.0751866789792363,0.9421465183693272,0.514812417207148
100001.OF,基金1,主动权益,0.00726784477786532,1373903991.4981222,2022-11-05,1.0,0.14452196754070296,0.724318741623977,0.5143348954690355
100032.OF,基金32,主动权益,0.00647489319344519,746918401.0279812,2022-09-03,1.0,0.051694756516152185,1.0,0.5142134483161567
100111.OF,基金111,主动权益,0.00784598137153679,801818412.792374,2021-10-09,1.0,0.1400213787456555,0.7266499272651515,0.5131022100759045
100223.OF,基金223,主动权益,0.006219361855905357,775809718.0364325,2017-10-31,1.0,0.05195371569660122,0.9590686527963024,0.5102491076174296
100136.OF,基金136,主动权益,0.013408388745764364,731619437.1335016,2017-05-06,1.0,0.1219606700587184,0.756354515410897,0.5095419748095523
100215.OF,基金215,主动权益,0.005435908486749496,5486774513.5237465,2023-07-04,1.0,0.03891898609495366,0.9874540571356426,0.5093339198447004
100164.OF,基金164,主动权益,0.008750876921491808,9197768016.369814,2023-10-11,1.0,0.0784182882324317,0.8745611577075654,0.5092314268561877
100271.OF,基金271,主动权益,0.005957752944276822,2457893640.5182624,2019-08-10,1.0,0.11880775525403948,0.7312336721289405,0.5075741432002506
100102.OF,基金102,主动权益,0.008617096697698678,1301141685.1781385,2022-05-11,1.0,0.03983895641615563,0.9688730873037076,0.5071155763156778
100137.OF,基金137,主动权益,0.011828958168367962,3153863256.0939245,2017-08-05,1.0,0.037372444873702684,0.9698588596080141,0.5058318277892386
100087.OF,基金87,主动权益,0.01022254083335894,841637967.991398,2023-05-24,1.0,0.03193909451512121,0.9694215652708358,0.5044793767149481
100206.OF,基金206,主动权益,0.011062518721646226,1354985355.2280173,2017-11-01,1.0,0.09275401434087406,0.777918825824136,0.5034055831403466
100240.OF,基金240,主动权益,0.0078658540399137,1602548515.2928052,2023-09-13,1.0,0.04340697651508034,0.9144828820190571,0.5028972103484471
100143.OF,基金143,主动权益,0.008548345273069748,2021339400.4520624,2020-08-10,1.0,0.031302688778954285,0.9457025604917964,0.502251393628252
100121.OF,基金121,主动权益,0.007540805851387187,548116005.4908775,2017-10-09,1.0,0.06748514288002197,0.822772932515048,0.501014674945234
100242.OF,基金242,主动权益,0.006011445913129889,1921735590.6660807,2018-12-16,1.0,0.030163469131413462,0.9291780396391167,0.5007645555207098
100220.OF,基金220,主动权益,0.0026705395030462713,538175078.6828108,2018-10-27,1.0,0.03614690128309715,0.9028499409958263,0.5005949565839025
100257.OF,基金257,主动权益,0.003329582428994242,722755508.5683295,2023-05-28,1.0,0.08059862984003154,0.7663296582012079,0.5001466382863314
100144.OF,基金144,主动权益,0.011436880286110358,1432975889.749925,2023-01-08,1.0,0.029121195772093003,0.9299675429524406,0.49944573696964994
