code,name,cat,fee,aum,launch_date,cover,sgrowth,repair,score
100144.OF,基金144,主动权益,0.0005650921270411036,2319102367.206257,2020-06-09,1.0,0.13707017277124012,0.9930517674007314,0.540313210146037
100087.OF,基金87,被动指数,0.007641272657064946,2687532728.53844,2023-07-26,1.0,0.14096444080747067,0.9866414284806877,0.539425220558897
100234.OF,基金234,被动指数,0.014567896971169267,4726718262.749504,2019-08-09,1.0,0.14567829859501463,0.9701355900075906,0.5378034691850296
100071.OF,基金71,主动权益,0.0135284425486378,398886228.47206753,2018-02-13,1.0,0.1283818212136406,0.9999268790570387,0.5358015457600684
100225.OF,基金225,主动权益,4.212898633565776e-05,207585443.28122032,2023-09-28,1.0,0.14271064507847292,0.9017228636971396,0.5329770540959887
100229.OF,基金229,主动权益,0.014377481439447153,1421105892.4165502,2017-05-23,1.0,0.14260986549594346,0.9174553001008994,0.5316529933709836
100131.OF,基金131,被动指数,0.007221838934394704,1286817007.6093965,2021-11-30,1.0,0.11682794227320874,0.9738992759062887,0.5309939424857126
100238.OF,基金238,主动权益,0.008429262398013702,813751152.4661647,2021-04-27,1.0,0.11948046880368661,0.9671571797445555,0.5308740061359588
100013.OF,基金13,主动权益,0.0035327902538858235,242152883.70722687,2021-06-28,1.0,0.10645852281850891,0.9947367372968315,0.5307046725244586
100163.OF,基金163,主动权益,0.008903246588538423,1241145213.2703729,2019-05-07,1.0,0.11026288126240434,0.978279088226476,0.5291261238836613
100070.OF,基金70,被动指数,0.013130779771028101,3686080260.178133,2017-06-24,1.0,0.10578114478553126,1.0,0.5291081874814538
100195.OF,基金195,被动指数,0.011499224901996806,1313903659.5115762,2018-08-09,1.0,0.138379539249959,0.8988713207605629,0.5291011488706446
100240.OF,基金240,被动指数,0.010231318680244494,858035948.368626,2018-08-10,1.0,0.12088699851179986,0.9295632999582673,0.5271761658133178
100226.OF,基金226,被动指数,0.007376161187052777,2288953920.928894,2017-06-10,1.0,0.11010559322896137,0.9557701318630997,0.5271334589175879
100055.OF,基金55,被动指数,0.003298332190691579,2038127593.0053363,2018-08-28,1.0,0.1296759164646515,0.8788299045260518,0.5261260989538623
100214.OF,基金214,被动指数,0.011309801326687472,3693160064.5897975,2023-10-17,1.0,0.11130219871813678,0.9400363494719859,0.5251323342973022
100129.OF,基金129,被动指数,0.014509458896403515,739790436.5307413,2017-05-08,1.0,0.11711929119190649,0.9231326402612158,0.5245471596044129
100219.OF,基金219,被动指数,0.010741178894809005,869776642.6472906,2021-12-03,1.0,0.09150894153272272,0.989458511348874,0.5242502978157424
100006.OF,基金6,主动权益,0.011017872837068565,2898790462.681109,2018-08-09,1.0,0.12545811328177375,0.886588957419725,0.5240927551590909
100017.OF,基金17,被动指数,0.008714946326752562,774751535.0985762,2023-01-09,1.0,0.08163054535137122,0.9828340667386555,0.5210295810139265
100147.OF,基金147,主动权益,0.01433250698675792,1383288886.4307337,2017-11-15,1.0,0.09038776037882491,0.9613426414259837,0.5203840908588943
100077.OF,基金77,被动指数,0.009776093494350198,587548324.2904652,2021-02-22,1.0,0.132304247059565,0.8250905939974468,0.5202451148187441
100231.OF,基金231,主动权益,0.007595650615476024,444095903.1592396,2019-08-31,1.0,0.10364311823077692,0.8900708767623355,0.5185808930223714
100146.OF,基金146,主动权益,0.003894145509431646,696923946.8327715,2017-09-17,1.0,0.14281831838196862,0.7534900608050863,0.517415672493213
100212.OF,基金212,主动权益,0.0004271995149457125,1270970631.9487145,2021-04-11,1.0,0.06736072285199837,0.9630512246493854,0.516427899417549
100251.OF,基金251,主动权益,0.005998580868157652,2408011652.6076884,2018-10-24,1.0,0.10243919893335089,0.8634554385605926,0.515877587362433
100293.OF,基金293,主动权益,0.0023623620597971943,1290697121.733768,2017-01-05,1.0,0.1335401135615485,0.7602533125029239,0.5156148929067975
100000.OF,基金0,被动指数,0.010837868229696679,736308425.0868784,2019-11-26,1.0,0.06553967116699051,0.9681591821674125,0.5143102459208991
100085.OF,基金85,被动指数,0.009061556429206374,514195930.79701895,2023-09-18,1.0,0.05308482856163253,1.0,0.5141131372826485
100108.OF,基金108,被动指数,0.005570892360735902,768029163.1761006,2021-08-10,1.0,0.09575878308471832,0.8637630277242255,0.5139897592256909
100095.OF,基金95,主动权益,0.013555519277332935,1103011019.048995,2021-06-08,1.0,0.06976198429183338,0.9521129940693914,0.5134287908390226
100001.OF,基金1,被动指数,0.004844492752236812,2139123804.7160013,2019-09-10,1.0,0.09108104507436927,0.8641754235978417,0.5127729573316476
100031.OF,基金31,主动权益,0.003537483327246644,614411202.5743906,2020-06-09,1.0,0.09964933386444884,0.8196119536954917,0.5111484988634345
100069.OF,基金69,主动权益,0.0035052908570592694,462997780.45099115,2019-02-01,1.0,0.06494553365395908,0.9189538438099197,0.5106779863057679
100072.OF,基金72,被动指数,0.010365008859689981,708184465.1698956,2022-04-21,1.0,0.14558640588814858,0.6752079100178711,0.5091237109962937
100241.OF,基金241,主动权益,0.014338632774076598,1646930313.1523204,2018-02-19,1.0,0.06844930141104387,0.9116136849755111,0.508828432366049
100182.OF,基金182,主动权益,0.006817081207925236,1995859313.404194,2017-08-14,1.0,0.037976257428917415,0.9873879713932625,0.5087682581264165
100041.OF,基金41,主动权益,0.01200410342739934,175399095.86417967,2023-03-31,1.0,0.10030331946275343,0.8012602562454555,0.5078162007778917
100233.OF,基金233,主动权益,0.014496351837982153,4278388468.661133,2023-03-15,1.0,0.05988629218486044,0.9259729065750969,0.5076639079453714
100088.OF,基金88,被动指数,0.013016237502668669,1031549700.416943,2022-12-29,1.0,0.07598913577631795,0.8599672345251532,0.506190216684877
100038.OF,基金38,主动权益,0.007311974886348132,384901683.481677,2017-09-28,1.0,0.05323131124735994,0.9050600795465406,0.5050130063515924
100098.OF,基金98,主动权益,0.01475515924343434,2877134889.7963123,2022-09-15,1.0,0.025268162201371028,1.0,0.5046294168117245
100111.OF,基金111,主动权益,0.004530144945709232,6056435191.99817,2020-12-11,1.0,0.016355830042821373,1.0,0.5040007200237047
100265.OF,基金265,被动指数,0.010350157632134836,385758333.6251422,2021-12-08,1.0,0.08974259473181702,0.7880105409823284,0.5036538009913509
100132.OF,基金132,主动权益,0.007169132233695776,3046080631.484341,2018-11-12,1.0,0.04162720636308136,0.9248030912665183,0.5035346445888371
100259.OF,基金259,被动指数,9.259214938216798e-05,999992344.879727,2018-03-10,1.0,0.07230910617547093,0.8160863730032423,0.5032828507230891
100236.OF,基金236,被动指数,0.00043377099325798583,474568103.67517424,2017-07-11,1.0,0.03025777473864115,0.9408561662167303,0.5030761948446139
100260.OF,基金260,主动权益,0.004648348476694956,329598562.4459143,2020-06-12,1.0,0.012851241054579465,1.0,0.5029257026210349
100137.OF,基金137,被动指数,0.005487867692547461,4790215252.28167,2017-06-04,1.0,0.05905808514297961,0.8559476626843779,0.5022146182728222
100054.OF,基金54,被动指数,0.004505974707672816,2333293068.140942,2019-06-01,1.0,0.05139758353877713,0.8654544922067229,0.5010635293407709
100057.OF,基金57,被动指数,0.013315856044310325,6973857793.642951,2021-07-27,1.0,0.11403284964146689,0.6905663159734592,0.5006033152809239
100211.OF,基金211,主动权益,0.0054865338633283914,486128381.7217827,2023-12-14,1.0,0.03835671506240082,0.9007448534612327,0.500484193092178
100180.OF,基金180,主动权益,0.00021083782003078922,1683797964.1028724,2022-09-28,1.0,0.107630000084343,0.681543034664711,0.5004011359277678
100102.OF,基金102,主动权益,0.00479239763588233,1166795533.7131383,2018-11-06,1.0,0.1303973262976137,0.6216058569597327,0.500321304058081
100224.OF,基金224,主动权益,0.01474566781294227,1416898572.085766,2023-03-27,1.0,0.14097749976927165,0.6045036180149626,0.4997944781696893
100161.OF,基金161,主动权益,0.011155793626410527,617129874.7683586,2018-08-27,1.0,0.04572997553094059,0.8724004989084804,0.4987278838248481
100048.OF,基金48,被动指数,0.0015911143445032606,134838822.8162131,2019-02-10,1.0,0.026185543353644786,0.9089987119227881,0.4984373113294716
100286.OF,基金286,主动权益,0.0065509947477720085,1262796917.1026359,2017-11-04,1.0,0.08234538754281497,0.7476443824118494,0.49815785555447506
100243.OF,基金243,被动指数,0.011337689487453504,625094963.819253,2023-10-28,1.0,0.015706978914544173,0.955962452275377,0.4980408010044103
100217.OF,基金217,主动权益,0.009873520611408846,1478778061.358757,2017-12-12,1.0,0.049498182764331156,0.8507505993684621,0.4979498106438638
100252.OF,基金252,主动权益,0.005219893511413538,1871874765.4687145,2018-02-15,1.0,0.07042721433873396,0.7775189996077416,0.4978360855601116
100168.OF,基金168,主动权益,0.0004498956453058428,4242506673.3651247,2017-09-30,1.0,-0.007668090094536263,1.0,0.49760959384257797
100150.OF,基金150,被动指数,0.008007918518900852,1532031085.5639098,2017-08-03,1.0,0.06598152149115603,0.7924574001509482,0.49743861275866147
100196.OF,基金196,主动权益,0.009380132698509146,6803357605.170773,2017-07-17,1.0,0.09592927493751761,0.6992965765441368,0.49683241359596714
100164.OF,基金164,主动权益,0.007695578635482341,913718459.313992,2022-07-28,1.0,0.08348446928319993,0.7309801103341086,0.49660423609127435
100282.OF,基金282,主动权益,0.009364887798934442,1023871369.6653125,2019-05-02,1.0,0.01686401033990051,0.9296120948102088,0.4961474350232042
100294.OF,基金294,主动权益,7.425802374211254e-05,368096347.48398614,2017-07-21,1.0,0.1307740493712664,0.5656187916851445,0.49577924237514603
100288.OF,基金288,主动权益,0.0024498507136618687,1742782194.4873645,2018-01-26,1.0,0.07962463963430373,0.7217378504745116,0.4955712067950099
100124.OF,基金124,被动指数,0.005240078138467916,3333209287.4024816,2023-03-08,1.0,0.04637438676196111,0.818012863755951,0.49466558677648986
100200.OF,基金200,被动指数,0.013033437484784466,982011056.6927984,2021-05-26,1.0,-0.0017148082269995424,0.9757126785744203,0.4944501378923853
100044.OF,基金44,被动指数,0.008455739347934827,1758863907.9090436,2020-03-24,1.0,0.016144517239085915,0.9064240149910772,0.4937946088012466
100149.OF,基金149,被动指数,0.012578192018477242,4051839554.4603534,2019-09-08,1.0,0.04464917783315761,0.8213845444437653,0.49301756939062835
100118.OF,基金118,主动权益,0.010644924167773129,427552621.0062657,2017-09-23,1.0,0.0031586765517237075,0.9419472107416816,0.49301333920613066
100099.OF,基金99,被动指数,0.004473240600524345,3503062206.9216166,2017-08-26,1.0,-0.013087978631337704,0.9731036640631496,0.4924893246968088
100189.OF,基金189,主动权益,0.010967430575068682,1315845045.774318,2022-12-07,1.0,0.0024140459317667715,0.9381981636226638,0.4923505440267827
100107.OF,基金107,主动权益,0.005897251111748394,2982033340.0114717,2019-08-04,1.0,-0.02028752368179041,0.9926240040630305,0.4919966930794163
100197.OF,基金197,主动权益,0.014223365021810763,2069194648.39487,2020-08-14,1.0,0.024019012452969224,0.8738879840276681,0.49174982913429544
100106.OF,基金106,主动权益,0.014168974003046063,6280166701.12313,2018-06-23,1.0,0.14473748501579264,0.5100373006817966,0.4915911807723083
100256.OF,基金256,主动权益,0.009952438320128529,2021141927.2148259,2019-11-04,1.0,0.07676669402647533,0.7050252933272515,0.4915420498766421
100204.OF,基金204,被动指数,0.009865859169104617,323075302.93701017,2019-01-04,1.0,0.06864552616146327,0.7259215588759192,0.49121264190221003
100227.OF,基金227,被动指数,0.000544937159700361,651528437.312676,2020-02-19,1.0,-0.0017622125838442776,0.9141786015100821,0.4907802089439149
100270.OF,基金270,被动指数,0.009654141487719526,5856691886.042285,2017-11-16,1.0,0.03184168302121289,0.8304468299708346,0.49066635960590343
100056.OF,基金56,主动权益,0.007880896947109708,642354125.0025733,2021-05-13,1.0,-0.002469874692507326,0.92841423225183,0.4905242814280089
100010.OF,基金10,被动指数,0.000942391014237638,811127745.2175072,2022-06-04,1.0,-0.013899805929252732,0.9470423173165895,0.49034581175003566
100228.OF,基金228,被动指数,0.014327291555324449,1619263563.4195793,2021-06-24,1.0,-0.0015444639584911712,0.9276990399717977,0.48944110649856754
100019.OF,基金19,主动权益,0.013796754568189492,1032807036.165494,2018-10-04,1.0,-0.0005630779539635283,0.9145945298436984,0.48853117868454293
100222.OF,基金222,主动权益,0.0016079367420343072,477113741.14520824,2022-04-24,1.0,-0.022738233502850293,0.9535653626130547,0.4882134788620435
100012.OF,基金12,主动权益,0.0019746516913602104,1357795685.510885,2022-02-27,1.0,-0.008832662588099269,0.9106778241032347,0.4880230532956217
100153.OF,基金153,被动指数,0.004552788430181227,1431932724.8879046,2021-02-23,1.0,-0.022111780683307793,0.9548200625387374,0.48793791436284517
100063.OF,基金63,主动权益,0.007902504844624037,4120193061.978457,2018-03-13,1.0,-0.03561331713836751,1.0,0.487735503889565
100277.OF,基金277,主动权益,0.014337207285313762,1300668260.1422014,2022-01-06,1.0,0.022332827640550335,0.8378475622758585,0.4876171630626882
100011.OF,基金11,主动权益,0.004535883197879278,375900498.04378,2021-11-28,1.0,0.03298321531046591,0.781616534021319,0.4871494413556958
100254.OF,基金254,主动权益,0.009376782299224727,1123529474.2915947,2020-12-11,1.0,-0.009528787407474093,0.9172526630527922,0.48699127362319206
100097.OF,基金97,主动权益,0.01231971919581529,521148583.55118126,2020-02-07,1.0,0.11942709984970083,0.5355367336058057,0.4869178594763278
100035.OF,基金35,被动指数,0.014283094536344711,694405179.5009714,2021-06-13,1.0,0.046805061241767865,0.755520091120968,0.48673690857735824
100250.OF,基金250,主动权益,0.011025707070214047,2156448988.2825913,2021-02-26,1.0,-0.011753272212893816,0.9210322432432503,0.4863721012464141
100215.OF,基金215,主动权益,0.010106688105863144,2299560819.6044416,2021-10-10,1.0,0.136115564985946,0.47485744845709565,0.48629907672032074
100007.OF,基金7,主动权益,0.010153416035695745,3645482610.8491273,2019-01-29,1.0,0.0337612714909066,0.7795731451463438,0.4860550127547672
100268.OF,基金268,被动指数,0.005640487683911622,3746959470.1693583,2017-06-11,1.0,0.05562731530495242,0.7031207361953811,0.48587217067424154
100155.OF,基金155,被动指数,0.009324152750801638,512361533.3632311,2019-02-26,1.0,-0.0417718654240751,1.0,0.4856036098226172
